CS 6010 Principles of Design,CS,6010,Principles of Design
CS 6035 Intro To Info Security,CS,6035,Intro To Info Security
CS 6150 Computing For Good,CS,6150,Computing For Good
CS 6210 Adv Operating Systems,CS,6210,Adv Operating Systems
CS 6230 High Perf Parallel Comp,CS,6230,High Perf Parallel Comp
CS 6235 Real-Time Systems,CS,6235,Real-Time Systems
CS 6238 Secure Computer Systems,CS,6238,Secure Computer Systems
CS 6241 Compiler Design,CS,6241,Compiler Design
CS 6245 Parallelizing Compilers,CS,6245,Parallelizing Compilers
CS 6246 Object-Oriented Systems,CS,6246,Object-Oriented Systems
CS 6250 Computer Networks,CS,6250,Computer Networks
CS 6255 Network Management,CS,6255,Network Management
CS 6260 Applied Cryptography,CS,6260,Applied Cryptography
CS 6262 Network Security,CS,6262,Network Security
CS 6265 Information Security Lab,CS,6265,Information Security Lab
CS 6266 Info Security Practicum,CS,6266,Info Security Practicum
CS 6269 Formal Info Assur Model,CS,6269,Formal Info Assur Model
CS 6280 Eval Communication Nets,CS,6280,Eval Communication Nets
CS 6290 High Perform Comput Arch,CS,6290,High Perform Comput Arch
CS 6300 Software Dev Process,CS,6300,Software Dev Process
CS 6310 Software Arch & Design,CS,6310,Software Arch & Design
CS 6320 Requirements Analysis,CS,6320,Requirements Analysis
CS 6330 Software Generation&Test,CS,6330,Software Generation&Test
CS 6340 Software Analysis & Test,CS,6340,Software Analysis & Test
CS 6365 Intro Enterprise Comput,CS,6365,Intro Enterprise Comput
CS 6390 Programming Languages,CS,6390,Programming Languages
CS 6400 DB Sys Concepts& Design,CS,6400,DB Sys Concepts& Design
CS 6402 Databases and Infosec,CS,6402,Databases and Infosec
CS 6411 O-O Database Model & Sys,CS,6411,O-O Database Model & Sys
"CS 6421 Tempor,Spatial&Active DB",CS,6421,"Tempor,Spatial&Active DB"
CS 6422 Database System Implemnt,CS,6422,Database System Implemnt
CS 6430 Parallel&Distributed DB,CS,6430,Parallel&Distributed DB
CS 6440 Intro Health Informatics,CS,6440,Intro Health Informatics
CS 6451 Human-Centered Computing,CS,6451,Human-Centered Computing
CS 6452 Prototyping Interact Sys,CS,6452,Prototyping Interact Sys
CS 6455 User Interface Dsgn&Eval,CS,6455,User Interface Dsgn&Eval
CS 6456 Principles-UI Software,CS,6456,Principles-UI Software
CS 6457 Video Game Design,CS,6457,Video Game Design
CS 6460 Educ Tech-Foundations,CS,6460,Educ Tech-Foundations
CS 6465 Computational Journalism,CS,6465,Computational Journalism
CS 6470 Online Communities,CS,6470,Online Communities
CS 6474 Social Computing,CS,6474,Social Computing
CS 6475 Comp. Photography,CS,6475,Comp. Photography
CS 6476 Computer Vision,CS,6476,Computer Vision
CS 6480 Comp Visualiz Techniques,CS,6480,Comp Visualiz Techniques
CS 6485 Visual Meth-Sci & Engr,CS,6485,Visual Meth-Sci & Engr
CS 6491 Computer Graphics,CS,6491,Computer Graphics
CS 6505 Computability&Algorithms,CS,6505,Computability&Algorithms
CS 6520 Computational Complexity,CS,6520,Computational Complexity
CS 6550 Design& Analy-Algorithms,CS,6550,Design& Analy-Algorithms
CS 6601 Artificial Intelligence,CS,6601,Artificial Intelligence
CS 6670 Distrib Cntrl Algorithms,CS,6670,Distrib Cntrl Algorithms
CS 6675 Advance Internet Comput,CS,6675,Advance Internet Comput
CS 6705 Applications of AI,CS,6705,Applications of AI
CS 6725 Info Security Policies,CS,6725,Info Security Policies
CS 6726 Privacy Tech Policy Law,CS,6726,Privacy Tech Policy Law
CS 6750 Human-Computer Interact,CS,6750,Human-Computer Interact
CS 6753 HCI Prof Prep & Practice,CS,6753,HCI Prof Prep & Practice
CS 6754 Engr Database Mgt System,CS,6754,Engr Database Mgt System
CS 6763 Design of Environments,CS,6763,Design of Environments
CS 6764 Geometric Modeling,CS,6764,Geometric Modeling
CS 6770 Mixed Reality Design,CS,6770,Mixed Reality Design
CS 6780 Medical Image Processing,CS,6780,Medical Image Processing
CS 6795 Intro-Cognitive Science,CS,6795,Intro-Cognitive Science
CS 7110 Parallel Computer Arch,CS,7110,Parallel Computer Arch
CS 7210 Distributed Computing,CS,7210,Distributed Computing
"CS 7230 Software Dsgn, Impl & Eval",CS,7230,"Software Dsgn, Impl & Eval"
CS 7250 Broadband Networking Sys,CS,7250,Broadband Networking Sys
CS 7260 Internet Arch & Protocols,CS,7260,Internet Arch & Protocols
CS 7270 Networked App & Services,CS,7270,Networked App & Services
CS 7280 Network Science,CS,7280,Network Science
CS 7290 Adv Microarchitechture,CS,7290,Adv Microarchitechture
CS 7292 Reliable Secure Comparch,CS,7292,Reliable Secure Comparch
CS 7450 Inform Visualization,CS,7450,Inform Visualization
CS 7455 Issues/Human-Center Comp,CS,7455,Issues/Human-Center Comp
CS 7460 Collaborative Computing,CS,7460,Collaborative Computing
CS 7465 Edu Tech Design and Eval,CS,7465,Edu Tech Design and Eval
CS 7467 Comp COllaborative Learning,CS,7467,Comp COllaborative Learning
CS 7470 Ubiquitous Computing,CS,7470,Ubiquitous Computing
CS 7476 Advanced Computer Vision,CS,7476,Advanced Computer Vision
CS 7490 Adv Image Synthesis,CS,7490,Adv Image Synthesis
CS 7491 3D Complexity,CS,7491,3D Complexity
CS 7492 Simulation of Biology,CS,7492,Simulation of Biology
CS 7495 Computer Vision,CS,7495,Computer Vision
CS 7496 Computer Animation,CS,7496,Computer Animation
CS 7497 Virtual Environments,CS,7497,Virtual Environments
CS 7499 3D Reconstruction,CS,7499,3D Reconstruction
CS 7510 Graph Algorithm,CS,7510,Graph Algorithm
CS 7520 Approximation Algorithms,CS,7520,Approximation Algorithms
CS 7525 Algorithmic Game Theory,CS,7525,Algorithmic Game Theory
CS 7530 Randomized Algorithms,CS,7530,Randomized Algorithms
CS 7535 Markov Chain Monte Carlo,CS,7535,Markov Chain Monte Carlo
CS 7540 Spectral Algorithms,CS,7540,Spectral Algorithms
CS 7545 Machine Learning Theory,CS,7545,Machine Learning Theory
CS 7560 Theory of Cryptography,CS,7560,Theory of Cryptography
CS 7610 Modeling and Design,CS,7610,Modeling and Design
CS 7611 AI Problem Solving,CS,7611,AI Problem Solving
CS 7612 AI Planning,CS,7612,AI Planning
CS 7613 Knowledge Systems Engr,CS,7613,Knowledge Systems Engr
CS 7615 Knowledge Agents,CS,7615,Knowledge Agents
CS 7616 Pattern Recognition,CS,7616,Pattern Recognition
CS 7620 Case-Based Reasoning,CS,7620,Case-Based Reasoning
CS 7630 Autonomous Robotics,CS,7630,Autonomous Robotics
CS 7631 Multi-Robot Systems,CS,7631,Multi-Robot Systems
CS 7632 Game AI,CS,7632,Game AI
CS 7633 Human-Robot Interaction,CS,7633,Human-Robot Interaction
CS 7634 AI Storytell In Vir Wrld,CS,7634,AI Storytell In Vir Wrld
CS 7636 Computational Perception,CS,7636,Computational Perception
CS 7637 Knowledge-Based AI,CS,7637,Knowledge-Based AI
CS 7640 Learning in Auton Agents,CS,7640,Learning in Auton Agents
CS 7641 Machine Learning,CS,7641,Machine Learning
CS 7645 Num Machine Learning,CS,7645,Num Machine Learning
CS 7646 Mach Learn For Trading,CS,7646,Mach Learn For Trading
CS 7649 Robot Intelli: Planning,CS,7649,Robot Intelli: Planning
CS 7650 Natural Language,CS,7650,Natural Language
CS 7695 Phil of Cognition,CS,7695,Phil of Cognition
CS 7697 Cognitive Model Sci&Tech,CS,7697,Cognitive Model Sci&Tech
CS 7785 Intro Robotics Research,CS,7785,Intro Robotics Research
CS 7790 Cognitive Modeling.,CS,7790,Cognitive Modeling.
